20170929|1897|115.049787194010,32.848276275799;115.049915831360,32.847918203377|794|283|511
20170929|1899|115.049866694050,32.848307517966;115.049787194010,32.848276275799|794|283|511
20170929|1904|115.049915831360,32.847918203377;115.050254582370,32.847024153414|794|283|511
20170929|1909|115.050035934800,32.847840476748;115.049866694050,32.848307517966|794|283|511
20170929|1918|115.050254582370,32.847024153414;115.050443855340,32.846517521065|794|283|511
20170929|1920|115.050334711220,32.847045689584;115.050035934800,32.847840476748|794|283|511
20170929|1925|115.050443855340,32.846517521065;115.051051738670,32.844678195875|794|283|511
20170929|1929|115.050593692700,32.846320281727;115.050334711220,32.847045689584|794|283|511
20170929|1932|115.051001792890,32.845887430449;115.050593692700,32.846320281727|794|283|511
20170929|1933|115.051051738670,32.844678195875;115.051171303140,32.844410426958|794|283|511

